model,mae,rmse,r2,pearson,spearman
kernel_ridge_rbf,0.8968806056340111,1.1116127591760179,0.11721903178708482,0.35220771520802485,0.26167716297643534
svr_rbf,0.8971679422825433,1.1163048588673377,0.10975089482058875,0.34111001321096285,0.2691883551112792
ridge,0.8989503065237198,1.110044143637935,0.1197086882151126,0.3525240181640277,0.2668382275108066
ridge_l2_norm,0.8990105943632647,1.1092411086680087,0.12098187904172497,0.35610316698305156,0.2702663198019722
pca100_ridge,0.9078821551826767,1.1189838506050604,0.10547279499356121,0.3320120014740438,0.23384921648036266
random_forest,0.9134977469157916,1.1449711983232325,0.06344121915655143,0.2901679477537853,0.20237923050260515
extra_trees,0.9237785443722945,1.1546194552797275,0.04759063355925175,0.24332391474230594,0.20486101791262812
mean,0.9502530228392297,1.1906263034260038,-0.01273742954308088,,
elastic_net,1.7665796767160904,2.2256506750116296,-2.5388317721842037,0.0377682957592724,0.03550371339285442
